engine_mode,inventory_drag,inventory_drag_ratio,inventory_realized_pnl,market_group,max_unpaired_lot_age,max_unpaired_lots,peak_inventory_drag_ratio,peak_negative_unrealized_pnl,pre_exit_inventory_notional,pre_exit_mark_price,pre_exit_position_qty,pre_exit_timestamp,pre_exit_unrealized_pnl,profile,scenario,seed,symbol,window_key
R1_CONTROLLER_FAITHFUL,4.862198158422682,4.261056284150372,-5.096402160264261,US_STOCK,129,2,4.490577675817719,5.124100000000001,234.20400184157734,1115.2571516265587,0.21000000000000002,1781841660000,-4.862198158422682,N20,PRIMARY_ZERO_MAKER,10,MUUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
R0_STATIC_REPAIRED,4.862198158422682,4.261056284150372,-5.096402160264261,US_STOCK,129,2,4.490577675817719,5.124100000000001,234.20400184157734,1115.2571516265587,0.21000000000000002,1781841660000,-4.862198158422682,N20,PRIMARY_ZERO_MAKER,17,MUUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
R1_CONTROLLER_FAITHFUL,4.862198158422682,4.261056284150372,-5.096402160264261,US_STOCK,129,2,4.490577675817719,5.124100000000001,234.20400184157734,1115.2571516265587,0.21000000000000002,1781841660000,-4.862198158422682,N20,PRIMARY_ZERO_MAKER,17,MUUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
R0_STATIC_REPAIRED,4.862198158422682,4.261056284150372,-5.096402160264261,US_STOCK,129,2,4.490577675817719,5.124100000000001,234.20400184157734,1115.2571516265587,0.21000000000000002,1781841660000,-4.862198158422682,N20,PRIMARY_ZERO_MAKER,31,MUUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
R1_CONTROLLER_FAITHFUL,4.862198158422682,4.261056284150372,-5.096402160264261,US_STOCK,129,2,4.490577675817719,5.124100000000001,234.20400184157734,1115.2571516265587,0.21000000000000002,1781841660000,-4.862198158422682,N20,PRIMARY_ZERO_MAKER,31,MUUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
R0_STATIC_REPAIRED,4.862198158422682,4.261056284150372,-5.096402160264261,US_STOCK,129,2,4.490577675817719,5.124100000000001,234.20400184157734,1115.2571516265587,0.21000000000000002,1781841660000,-4.862198158422682,N20,PRIMARY_ZERO_MAKER,59,MUUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
R1_CONTROLLER_FAITHFUL,4.862198158422682,4.261056284150372,-5.096402160264261,US_STOCK,129,2,4.490577675817719,5.124100000000001,234.20400184157734,1115.2571516265587,0.21000000000000002,1781841660000,-4.862198158422682,N20,PRIMARY_ZERO_MAKER,59,MUUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
R0_STATIC_REPAIRED,4.862198158422682,4.261056284150372,-5.096402160264261,US_STOCK,126,2,4.490577675817719,5.124100000000001,234.20400184157734,1115.2571516265587,0.21000000000000002,1781841660000,-4.862198158422682,N20,PRIMARY_ZERO_MAKER,97,MUUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
R1_CONTROLLER_FAITHFUL,4.862198158422682,4.261056284150372,-5.096402160264261,US_STOCK,126,2,4.490577675817719,5.124100000000001,234.20400184157734,1115.2571516265587,0.21000000000000002,1781841660000,-4.862198158422682,N20,PRIMARY_ZERO_MAKER,97,MUUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
R0_STATIC_REPAIRED,4.862198158422682,4.261056284150372,-5.447708163026605,US_STOCK,128,2,4.490577675817719,5.124100000000001,234.20400184157734,1115.2571516265587,0.21000000000000002,1781841660000,-4.862198158422682,N20,EXECUTION_STRESS,3,MUUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
R1_CONTROLLER_FAITHFUL,4.862198158422682,4.261056284150372,-5.447708163026605,US_STOCK,128,2,4.490577675817719,5.124100000000001,234.20400184157734,1115.2571516265587,0.21000000000000002,1781841660000,-4.862198158422682,N20,EXECUTION_STRESS,3,MUUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
R0_STATIC_REPAIRED,4.862198158422682,4.261056284150372,-5.447708163026605,US_STOCK,129,2,4.490577675817719,5.124100000000001,234.20400184157734,1115.2571516265587,0.21000000000000002,1781841660000,-4.862198158422682,N20,EXECUTION_STRESS,10,MUUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
R1_CONTROLLER_FAITHFUL,4.862198158422682,4.261056284150372,-5.447708163026605,US_STOCK,129,2,4.490577675817719,5.124100000000001,234.20400184157734,1115.2571516265587,0.21000000000000002,1781841660000,-4.862198158422682,N20,EXECUTION_STRESS,10,MUUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
R0_STATIC_REPAIRED,4.862198158422682,4.261056284150372,-5.447708163026605,US_STOCK,128,2,4.490577675817719,5.124100000000001,234.20400184157734,1115.2571516265587,0.21000000000000002,1781841660000,-4.862198158422682,N20,EXECUTION_STRESS,17,MUUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
R1_CONTROLLER_FAITHFUL,4.862198158422682,4.261056284150372,-5.447708163026605,US_STOCK,128,2,4.490577675817719,5.124100000000001,234.20400184157734,1115.2571516265587,0.21000000000000002,1781841660000,-4.862198158422682,N20,EXECUTION_STRESS,17,MUUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
R0_STATIC_REPAIRED,4.862198158422682,4.261056284150372,-5.447708163026605,US_STOCK,128,2,4.490577675817719,5.124100000000001,234.20400184157734,1115.2571516265587,0.21000000000000002,1781841660000,-4.862198158422682,N20,EXECUTION_STRESS,31,MUUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
R1_CONTROLLER_FAITHFUL,4.862198158422682,4.261056284150372,-5.447708163026605,US_STOCK,128,2,4.490577675817719,5.124100000000001,234.20400184157734,1115.2571516265587,0.21000000000000002,1781841660000,-4.862198158422682,N20,EXECUTION_STRESS,31,MUUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
R0_STATIC_REPAIRED,4.862198158422682,4.261056284150372,-5.447708163026605,US_STOCK,129,2,4.490577675817719,5.124100000000001,234.20400184157734,1115.2571516265587,0.21000000000000002,1781841660000,-4.862198158422682,N20,EXECUTION_STRESS,59,MUUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
R1_CONTROLLER_FAITHFUL,4.862198158422682,4.261056284150372,-5.447708163026605,US_STOCK,129,2,4.490577675817719,5.124100000000001,234.20400184157734,1115.2571516265587,0.21000000000000002,1781841660000,-4.862198158422682,N20,EXECUTION_STRESS,59,MUUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
R0_STATIC_REPAIRED,4.862198158422682,4.261056284150372,-5.447708163026605,US_STOCK,126,2,4.490577675817719,5.124100000000001,234.20400184157734,1115.2571516265587,0.21000000000000002,1781841660000,-4.862198158422682,N20,EXECUTION_STRESS,97,MUUSDT,US_STOCK:2026-06-18T20:00:00+00:00:2026-06-22T08:00:00+00:00
