window_id,symbol,asset_group,group,seed,matched_window_id,matched_calendar_key,calendar_key,market_close,force_close_at,observation_start,observation_end,tradable_start,tradable_end,row_start_index,row_end_index,row_count,observation_rows,tradable_rows,tradable_hours,duration_minutes,month,split,listing_stage,window_type,status,skip_reason,data_gap_count
AMZNUSDT-nyse_20260424T200000Z,AMZNUSDT,TRADITIONAL_EQUITY,W,,,,W:2026-04-24T20:00:00Z:2026-04-27T06:00:00Z,2026-04-24T20:00:00Z,2026-04-27T06:00:00Z,2026-04-24T20:00:00+00:00,2026-04-24T22:59:59.999000+00:00,2026-04-24T23:00:00+00:00,2026-04-27T05:59:59.999000+00:00,106320,109800,3480,180,3300,55.0,3480.0,2026-04,RESEARCH_DEVELOPMENT,LISTING_AFTER_30_DAYS,REGULAR_WEEKEND,READY,,0
AMZNUSDT-nyse_20260501T200000Z,AMZNUSDT,TRADITIONAL_EQUITY,W,,,,W:2026-05-01T20:00:00Z:2026-05-04T06:00:00Z,2026-05-01T20:00:00Z,2026-05-04T06:00:00Z,2026-05-01T20:00:00+00:00,2026-05-01T22:59:59.999000+00:00,2026-05-01T23:00:00+00:00,2026-05-04T05:59:59.999000+00:00,116400,119880,3480,180,3300,55.0,3480.0,2026-05,RESEARCH_DEVELOPMENT,LISTING_AFTER_30_DAYS,REGULAR_WEEKEND,READY,,0
AMZNUSDT-nyse_20260508T200000Z,AMZNUSDT,TRADITIONAL_EQUITY,W,,,,W:2026-05-08T20:00:00Z:2026-05-11T06:00:00Z,2026-05-08T20:00:00Z,2026-05-11T06:00:00Z,2026-05-08T20:00:00+00:00,2026-05-08T22:59:59.999000+00:00,2026-05-08T23:00:00+00:00,2026-05-11T05:59:59.999000+00:00,126480,129960,3480,180,3300,55.0,3480.0,2026-05,RESEARCH_DEVELOPMENT,LISTING_AFTER_30_DAYS,REGULAR_WEEKEND,READY,,0
AMZNUSDT-nyse_20260515T200000Z,AMZNUSDT,TRADITIONAL_EQUITY,W,,,,W:2026-05-15T20:00:00Z:2026-05-18T06:00:00Z,2026-05-15T20:00:00Z,2026-05-18T06:00:00Z,2026-05-15T20:00:00+00:00,2026-05-15T22:59:59.999000+00:00,2026-05-15T23:00:00+00:00,2026-05-18T05:59:59.999000+00:00,136560,140040,3480,180,3300,55.0,3480.0,2026-05,RESEARCH_DEVELOPMENT,LISTING_AFTER_30_DAYS,REGULAR_WEEKEND,READY,,0
AMZNUSDT-nyse_20260522T200000Z,AMZNUSDT,TRADITIONAL_EQUITY,W,,,,W:2026-05-22T20:00:00Z:2026-05-26T06:00:00Z,2026-05-22T20:00:00Z,2026-05-26T06:00:00Z,2026-05-22T20:00:00+00:00,2026-05-22T22:59:59.999000+00:00,2026-05-22T23:00:00+00:00,2026-05-26T05:59:59.999000+00:00,146640,151560,4920,180,4740,79.0,4920.0,2026-05,RESEARCH_DEVELOPMENT,LISTING_AFTER_30_DAYS,THREE_DAY_LONG_WEEKEND,READY,,0
AMZNUSDT-nyse_20260529T200000Z,AMZNUSDT,TRADITIONAL_EQUITY,W,,,,W:2026-05-29T20:00:00Z:2026-06-01T06:00:00Z,2026-05-29T20:00:00Z,2026-06-01T06:00:00Z,2026-05-29T20:00:00+00:00,2026-05-29T22:59:59.999000+00:00,2026-05-29T23:00:00+00:00,2026-06-01T05:59:59.999000+00:00,156720,160200,3480,180,3300,55.0,3480.0,2026-05,RESEARCH_DEVELOPMENT,LISTING_AFTER_30_DAYS,REGULAR_WEEKEND,READY,,0
AMZNUSDT-nyse_20260605T200000Z,AMZNUSDT,TRADITIONAL_EQUITY,W,,,,W:2026-06-05T20:00:00Z:2026-06-08T06:00:00Z,2026-06-05T20:00:00Z,2026-06-08T06:00:00Z,2026-06-05T20:00:00+00:00,2026-06-05T22:59:59.999000+00:00,2026-06-05T23:00:00+00:00,2026-06-08T05:59:59.999000+00:00,166800,170280,3480,180,3300,55.0,3480.0,2026-06,RESEARCH_VALIDATION_EXPOSED,LISTING_AFTER_30_DAYS,REGULAR_WEEKEND,READY,,0
AMZNUSDT-nyse_20260612T200000Z,AMZNUSDT,TRADITIONAL_EQUITY,W,,,,W:2026-06-12T20:00:00Z:2026-06-15T06:00:00Z,2026-06-12T20:00:00Z,2026-06-15T06:00:00Z,2026-06-12T20:00:00+00:00,2026-06-12T22:59:59.999000+00:00,2026-06-12T23:00:00+00:00,2026-06-15T05:59:59.999000+00:00,176880,180360,3480,180,3300,55.0,3480.0,2026-06,RESEARCH_VALIDATION_EXPOSED,LISTING_AFTER_30_DAYS,REGULAR_WEEKEND,READY,,0
AMZNUSDT-nyse_20260618T200000Z,AMZNUSDT,TRADITIONAL_EQUITY,W,,,,W:2026-06-18T20:00:00Z:2026-06-22T06:00:00Z,2026-06-18T20:00:00Z,2026-06-22T06:00:00Z,2026-06-18T20:00:00+00:00,2026-06-18T22:59:59.999000+00:00,2026-06-18T23:00:00+00:00,2026-06-22T05:59:59.999000+00:00,185520,190440,4920,180,4740,79.0,4920.0,2026-06,RESEARCH_VALIDATION_EXPOSED,LISTING_AFTER_30_DAYS,THREE_DAY_LONG_WEEKEND,READY,,0
AMZNUSDT-nyse_20260626T200000Z,AMZNUSDT,TRADITIONAL_EQUITY,W,,,,W:2026-06-26T20:00:00Z:2026-06-29T06:00:00Z,2026-06-26T20:00:00Z,2026-06-29T06:00:00Z,2026-06-26T20:00:00+00:00,2026-06-26T22:59:59.999000+00:00,2026-06-26T23:00:00+00:00,2026-06-29T05:59:59.999000+00:00,197040,200520,3480,180,3300,55.0,3480.0,2026-06,RESEARCH_VALIDATION_EXPOSED,LISTING_AFTER_30_DAYS,REGULAR_WEEKEND,READY,,0
AMZNUSDT-nyse_20260702T200000Z,AMZNUSDT,TRADITIONAL_EQUITY,W,,,,W:2026-07-02T20:00:00Z:2026-07-06T06:00:00Z,2026-07-02T20:00:00Z,2026-07-06T06:00:00Z,2026-07-02T20:00:00+00:00,2026-07-02T22:59:59.999000+00:00,2026-07-02T23:00:00+00:00,2026-07-06T05:59:59.999000+00:00,205680,210600,4920,180,4740,79.0,4920.0,2026-07,DESCRIPTIVE_EXPOSED,LISTING_AFTER_30_DAYS,THREE_DAY_LONG_WEEKEND,READY,,0
AMZNUSDT-nyse_20260710T200000Z,AMZNUSDT,TRADITIONAL_EQUITY,W,,,,W:2026-07-10T20:00:00Z:2026-07-13T06:00:00Z,2026-07-10T20:00:00Z,2026-07-13T06:00:00Z,2026-07-10T20:00:00+00:00,2026-07-10T22:59:59.999000+00:00,2026-07-10T23:00:00+00:00,2026-07-13T05:59:59.999000+00:00,217200,220680,3480,180,3300,55.0,3480.0,2026-07,DESCRIPTIVE_EXPOSED,LISTING_AFTER_30_DAYS,REGULAR_WEEKEND,READY,,0
AMZNUSDT-nyse_20260717T200000Z,AMZNUSDT,TRADITIONAL_EQUITY,W,,,,W:2026-07-17T20:00:00Z:2026-07-20T06:00:00Z,2026-07-17T20:00:00Z,2026-07-20T06:00:00Z,2026-07-17T20:00:00+00:00,2026-07-17T22:59:59.999000+00:00,2026-07-17T23:00:00+00:00,2026-07-20T05:59:59.999000+00:00,227280,230760,3480,180,3300,55.0,3480.0,2026-07,DESCRIPTIVE_EXPOSED,LISTING_AFTER_30_DAYS,REGULAR_WEEKEND,READY,,0
COINUSDT-nyse_20260213T210000Z,COINUSDT,CRYPTO_SENSITIVE_EQUITY,W,,,,W:2026-02-13T21:00:00Z:2026-02-17T07:00:00Z,2026-02-13T21:00:00Z,2026-02-17T07:00:00Z,2026-02-13T21:00:00+00:00,2026-02-13T23:59:59.999000+00:00,2026-02-14T00:00:00+00:00,2026-02-17T06:59:59.999000+00:00,5580,10500,4920,180,4740,79.0,4920.0,2026-02,DESCRIPTIVE_EXPOSED,LISTING_DAYS_1_14,THREE_DAY_LONG_WEEKEND,READY,,0
COINUSDT-nyse_20260220T210000Z,COINUSDT,CRYPTO_SENSITIVE_EQUITY,W,,,,W:2026-02-20T21:00:00Z:2026-02-23T07:00:00Z,2026-02-20T21:00:00Z,2026-02-23T07:00:00Z,2026-02-20T21:00:00+00:00,2026-02-20T23:59:59.999000+00:00,2026-02-21T00:00:00+00:00,2026-02-23T06:59:59.999000+00:00,15660,19140,3480,180,3300,55.0,3480.0,2026-02,DESCRIPTIVE_EXPOSED,LISTING_DAYS_1_14,REGULAR_WEEKEND,READY,,0
COINUSDT-nyse_20260227T210000Z,COINUSDT,CRYPTO_SENSITIVE_EQUITY,W,,,,W:2026-02-27T21:00:00Z:2026-03-02T07:00:00Z,2026-02-27T21:00:00Z,2026-03-02T07:00:00Z,2026-02-27T21:00:00+00:00,2026-02-27T23:59:59.999000+00:00,2026-02-28T00:00:00+00:00,2026-03-02T06:59:59.999000+00:00,25740,29220,3480,180,3300,55.0,3480.0,2026-02,DESCRIPTIVE_EXPOSED,LISTING_DAYS_15_30,REGULAR_WEEKEND,READY,,0
COINUSDT-nyse_20260306T210000Z,COINUSDT,CRYPTO_SENSITIVE_EQUITY,W,,,,W:2026-03-06T21:00:00Z:2026-03-09T06:00:00Z,2026-03-06T21:00:00Z,2026-03-09T06:00:00Z,2026-03-06T21:00:00+00:00,2026-03-06T23:59:59.999000+00:00,2026-03-07T00:00:00+00:00,2026-03-09T05:59:59.999000+00:00,35820,39240,3420,180,3240,54.0,3420.0,2026-03,RESEARCH_DEVELOPMENT,LISTING_DAYS_15_30,REGULAR_WEEKEND,READY,,0
COINUSDT-nyse_20260313T200000Z,COINUSDT,CRYPTO_SENSITIVE_EQUITY,W,,,,W:2026-03-13T20:00:00Z:2026-03-16T06:00:00Z,2026-03-13T20:00:00Z,2026-03-16T06:00:00Z,2026-03-13T20:00:00+00:00,2026-03-13T22:59:59.999000+00:00,2026-03-13T23:00:00+00:00,2026-03-16T05:59:59.999000+00:00,45840,49320,3480,180,3300,55.0,3480.0,2026-03,RESEARCH_DEVELOPMENT,LISTING_AFTER_30_DAYS,REGULAR_WEEKEND,READY,,0
COINUSDT-nyse_20260320T200000Z,COINUSDT,CRYPTO_SENSITIVE_EQUITY,W,,,,W:2026-03-20T20:00:00Z:2026-03-23T06:00:00Z,2026-03-20T20:00:00Z,2026-03-23T06:00:00Z,2026-03-20T20:00:00+00:00,2026-03-20T22:59:59.999000+00:00,2026-03-20T23:00:00+00:00,2026-03-23T05:59:59.999000+00:00,55920,59400,3480,180,3300,55.0,3480.0,2026-03,RESEARCH_DEVELOPMENT,LISTING_AFTER_30_DAYS,REGULAR_WEEKEND,READY,,0
COINUSDT-nyse_20260327T200000Z,COINUSDT,CRYPTO_SENSITIVE_EQUITY,W,,,,W:2026-03-27T20:00:00Z:2026-03-30T06:00:00Z,2026-03-27T20:00:00Z,2026-03-30T06:00:00Z,2026-03-27T20:00:00+00:00,2026-03-27T22:59:59.999000+00:00,2026-03-27T23:00:00+00:00,2026-03-30T05:59:59.999000+00:00,66000,69480,3480,180,3300,55.0,3480.0,2026-03,RESEARCH_DEVELOPMENT,LISTING_AFTER_30_DAYS,REGULAR_WEEKEND,READY,,0
COINUSDT-nyse_20260402T200000Z,COINUSDT,CRYPTO_SENSITIVE_EQUITY,W,,,,W:2026-04-02T20:00:00Z:2026-04-06T06:00:00Z,2026-04-02T20:00:00Z,2026-04-06T06:00:00Z,2026-04-02T20:00:00+00:00,2026-04-02T22:59:59.999000+00:00,2026-04-02T23:00:00+00:00,2026-04-06T05:59:59.999000+00:00,74640,79560,4920,180,4740,79.0,4920.0,2026-04,RESEARCH_DEVELOPMENT,LISTING_AFTER_30_DAYS,THREE_DAY_LONG_WEEKEND,READY,,0
COINUSDT-nyse_20260410T200000Z,COINUSDT,CRYPTO_SENSITIVE_EQUITY,W,,,,W:2026-04-10T20:00:00Z:2026-04-13T06:00:00Z,2026-04-10T20:00:00Z,2026-04-13T06:00:00Z,2026-04-10T20:00:00+00:00,2026-04-10T22:59:59.999000+00:00,2026-04-10T23:00:00+00:00,2026-04-13T05:59:59.999000+00:00,86160,89640,3480,180,3300,55.0,3480.0,2026-04,RESEARCH_DEVELOPMENT,LISTING_AFTER_30_DAYS,REGULAR_WEEKEND,READY,,0
COINUSDT-nyse_20260417T200000Z,COINUSDT,CRYPTO_SENSITIVE_EQUITY,W,,,,W:2026-04-17T20:00:00Z:2026-04-20T06:00:00Z,2026-04-17T20:00:00Z,2026-04-20T06:00:00Z,2026-04-17T20:00:00+00:00,2026-04-17T22:59:59.999000+00:00,2026-04-17T23:00:00+00:00,2026-04-20T05:59:59.999000+00:00,96240,99720,3480,180,3300,55.0,3480.0,2026-04,RESEARCH_DEVELOPMENT,LISTING_AFTER_30_DAYS,REGULAR_WEEKEND,READY,,0
COINUSDT-nyse_20260424T200000Z,COINUSDT,CRYPTO_SENSITIVE_EQUITY,W,,,,W:2026-04-24T20:00:00Z:2026-04-27T06:00:00Z,2026-04-24T20:00:00Z,2026-04-27T06:00:00Z,2026-04-24T20:00:00+00:00,2026-04-24T22:59:59.999000+00:00,2026-04-24T23:00:00+00:00,2026-04-27T05:59:59.999000+00:00,106320,109800,3480,180,3300,55.0,3480.0,2026-04,RESEARCH_DEVELOPMENT,LISTING_AFTER_30_DAYS,REGULAR_WEEKEND,READY,,0
COINUSDT-nyse_20260501T200000Z,COINUSDT,CRYPTO_SENSITIVE_EQUITY,W,,,,W:2026-05-01T20:00:00Z:2026-05-04T06:00:00Z,2026-05-01T20:00:00Z,2026-05-04T06:00:00Z,2026-05-01T20:00:00+00:00,2026-05-01T22:59:59.999000+00:00,2026-05-01T23:00:00+00:00,2026-05-04T05:59:59.999000+00:00,116400,119880,3480,180,3300,55.0,3480.0,2026-05,RESEARCH_DEVELOPMENT,LISTING_AFTER_30_DAYS,REGULAR_WEEKEND,READY,,0
COINUSDT-nyse_20260508T200000Z,COINUSDT,CRYPTO_SENSITIVE_EQUITY,W,,,,W:2026-05-08T20:00:00Z:2026-05-11T06:00:00Z,2026-05-08T20:00:00Z,2026-05-11T06:00:00Z,2026-05-08T20:00:00+00:00,2026-05-08T22:59:59.999000+00:00,2026-05-08T23:00:00+00:00,2026-05-11T05:59:59.999000+00:00,126480,129960,3480,180,3300,55.0,3480.0,2026-05,RESEARCH_DEVELOPMENT,LISTING_AFTER_30_DAYS,REGULAR_WEEKEND,READY,,0
COINUSDT-nyse_20260515T200000Z,COINUSDT,CRYPTO_SENSITIVE_EQUITY,W,,,,W:2026-05-15T20:00:00Z:2026-05-18T06:00:00Z,2026-05-15T20:00:00Z,2026-05-18T06:00:00Z,2026-05-15T20:00:00+00:00,2026-05-15T22:59:59.999000+00:00,2026-05-15T23:00:00+00:00,2026-05-18T05:59:59.999000+00:00,136560,140040,3480,180,3300,55.0,3480.0,2026-05,RESEARCH_DEVELOPMENT,LISTING_AFTER_30_DAYS,REGULAR_WEEKEND,READY,,0
COINUSDT-nyse_20260522T200000Z,COINUSDT,CRYPTO_SENSITIVE_EQUITY,W,,,,W:2026-05-22T20:00:00Z:2026-05-26T06:00:00Z,2026-05-22T20:00:00Z,2026-05-26T06:00:00Z,2026-05-22T20:00:00+00:00,2026-05-22T22:59:59.999000+00:00,2026-05-22T23:00:00+00:00,2026-05-26T05:59:59.999000+00:00,146640,151560,4920,180,4740,79.0,4920.0,2026-05,RESEARCH_DEVELOPMENT,LISTING_AFTER_30_DAYS,THREE_DAY_LONG_WEEKEND,READY,,0
COINUSDT-nyse_20260529T200000Z,COINUSDT,CRYPTO_SENSITIVE_EQUITY,W,,,,W:2026-05-29T20:00:00Z:2026-06-01T06:00:00Z,2026-05-29T20:00:00Z,2026-06-01T06:00:00Z,2026-05-29T20:00:00+00:00,2026-05-29T22:59:59.999000+00:00,2026-05-29T23:00:00+00:00,2026-06-01T05:59:59.999000+00:00,156720,160200,3480,180,3300,55.0,3480.0,2026-05,RESEARCH_DEVELOPMENT,LISTING_AFTER_30_DAYS,REGULAR_WEEKEND,READY,,0
COINUSDT-nyse_20260605T200000Z,COINUSDT,CRYPTO_SENSITIVE_EQUITY,W,,,,W:2026-06-05T20:00:00Z:2026-06-08T06:00:00Z,2026-06-05T20:00:00Z,2026-06-08T06:00:00Z,2026-06-05T20:00:00+00:00,2026-06-05T22:59:59.999000+00:00,2026-06-05T23:00:00+00:00,2026-06-08T05:59:59.999000+00:00,166800,170280,3480,180,3300,55.0,3480.0,2026-06,RESEARCH_VALIDATION_EXPOSED,LISTING_AFTER_30_DAYS,REGULAR_WEEKEND,READY,,0
COINUSDT-nyse_20260612T200000Z,COINUSDT,CRYPTO_SENSITIVE_EQUITY,W,,,,W:2026-06-12T20:00:00Z:2026-06-15T06:00:00Z,2026-06-12T20:00:00Z,2026-06-15T06:00:00Z,2026-06-12T20:00:00+00:00,2026-06-12T22:59:59.999000+00:00,2026-06-12T23:00:00+00:00,2026-06-15T05:59:59.999000+00:00,176880,180360,3480,180,3300,55.0,3480.0,2026-06,RESEARCH_VALIDATION_EXPOSED,LISTING_AFTER_30_DAYS,REGULAR_WEEKEND,READY,,0
COINUSDT-nyse_20260618T200000Z,COINUSDT,CRYPTO_SENSITIVE_EQUITY,W,,,,W:2026-06-18T20:00:00Z:2026-06-22T06:00:00Z,2026-06-18T20:00:00Z,2026-06-22T06:00:00Z,2026-06-18T20:00:00+00:00,2026-06-18T22:59:59.999000+00:00,2026-06-18T23:00:00+00:00,2026-06-22T05:59:59.999000+00:00,185520,190440,4920,180,4740,79.0,4920.0,2026-06,RESEARCH_VALIDATION_EXPOSED,LISTING_AFTER_30_DAYS,THREE_DAY_LONG_WEEKEND,READY,,0
COINUSDT-nyse_20260626T200000Z,COINUSDT,CRYPTO_SENSITIVE_EQUITY,W,,,,W:2026-06-26T20:00:00Z:2026-06-29T06:00:00Z,2026-06-26T20:00:00Z,2026-06-29T06:00:00Z,2026-06-26T20:00:00+00:00,2026-06-26T22:59:59.999000+00:00,2026-06-26T23:00:00+00:00,2026-06-29T05:59:59.999000+00:00,197040,200520,3480,180,3300,55.0,3480.0,2026-06,RESEARCH_VALIDATION_EXPOSED,LISTING_AFTER_30_DAYS,REGULAR_WEEKEND,READY,,0
COINUSDT-nyse_20260702T200000Z,COINUSDT,CRYPTO_SENSITIVE_EQUITY,W,,,,W:2026-07-02T20:00:00Z:2026-07-06T06:00:00Z,2026-07-02T20:00:00Z,2026-07-06T06:00:00Z,2026-07-02T20:00:00+00:00,2026-07-02T22:59:59.999000+00:00,2026-07-02T23:00:00+00:00,2026-07-06T05:59:59.999000+00:00,205680,210600,4920,180,4740,79.0,4920.0,2026-07,DESCRIPTIVE_EXPOSED,LISTING_AFTER_30_DAYS,THREE_DAY_LONG_WEEKEND,READY,,0
COINUSDT-nyse_20260710T200000Z,COINUSDT,CRYPTO_SENSITIVE_EQUITY,W,,,,W:2026-07-10T20:00:00Z:2026-07-13T06:00:00Z,2026-07-10T20:00:00Z,2026-07-13T06:00:00Z,2026-07-10T20:00:00+00:00,2026-07-10T22:59:59.999000+00:00,2026-07-10T23:00:00+00:00,2026-07-13T05:59:59.999000+00:00,217200,220680,3480,180,3300,55.0,3480.0,2026-07,DESCRIPTIVE_EXPOSED,LISTING_AFTER_30_DAYS,REGULAR_WEEKEND,READY,,0
COINUSDT-nyse_20260717T200000Z,COINUSDT,CRYPTO_SENSITIVE_EQUITY,W,,,,W:2026-07-17T20:00:00Z:2026-07-20T06:00:00Z,2026-07-17T20:00:00Z,2026-07-20T06:00:00Z,2026-07-17T20:00:00+00:00,2026-07-17T22:59:59.999000+00:00,2026-07-17T23:00:00+00:00,2026-07-20T05:59:59.999000+00:00,227280,230760,3480,180,3300,55.0,3480.0,2026-07,DESCRIPTIVE_EXPOSED,LISTING_AFTER_30_DAYS,REGULAR_WEEKEND,READY,,0
CRCLUSDT-nyse_20260213T210000Z,CRCLUSDT,CRYPTO_SENSITIVE_EQUITY,W,,,,W:2026-02-13T21:00:00Z:2026-02-17T07:00:00Z,2026-02-13T21:00:00Z,2026-02-17T07:00:00Z,2026-02-13T21:00:00+00:00,2026-02-13T23:59:59.999000+00:00,2026-02-14T00:00:00+00:00,2026-02-17T06:59:59.999000+00:00,5580,10500,4920,180,4740,79.0,4920.0,2026-02,DESCRIPTIVE_EXPOSED,LISTING_DAYS_1_14,THREE_DAY_LONG_WEEKEND,READY,,0
CRCLUSDT-nyse_20260220T210000Z,CRCLUSDT,CRYPTO_SENSITIVE_EQUITY,W,,,,W:2026-02-20T21:00:00Z:2026-02-23T07:00:00Z,2026-02-20T21:00:00Z,2026-02-23T07:00:00Z,2026-02-20T21:00:00+00:00,2026-02-20T23:59:59.999000+00:00,2026-02-21T00:00:00+00:00,2026-02-23T06:59:59.999000+00:00,15660,19140,3480,180,3300,55.0,3480.0,2026-02,DESCRIPTIVE_EXPOSED,LISTING_DAYS_1_14,REGULAR_WEEKEND,READY,,0
CRCLUSDT-nyse_20260227T210000Z,CRCLUSDT,CRYPTO_SENSITIVE_EQUITY,W,,,,W:2026-02-27T21:00:00Z:2026-03-02T07:00:00Z,2026-02-27T21:00:00Z,2026-03-02T07:00:00Z,2026-02-27T21:00:00+00:00,2026-02-27T23:59:59.999000+00:00,2026-02-28T00:00:00+00:00,2026-03-02T06:59:59.999000+00:00,25740,29220,3480,180,3300,55.0,3480.0,2026-02,DESCRIPTIVE_EXPOSED,LISTING_DAYS_15_30,REGULAR_WEEKEND,READY,,0
CRCLUSDT-nyse_20260306T210000Z,CRCLUSDT,CRYPTO_SENSITIVE_EQUITY,W,,,,W:2026-03-06T21:00:00Z:2026-03-09T06:00:00Z,2026-03-06T21:00:00Z,2026-03-09T06:00:00Z,2026-03-06T21:00:00+00:00,2026-03-06T23:59:59.999000+00:00,2026-03-07T00:00:00+00:00,2026-03-09T05:59:59.999000+00:00,35820,39240,3420,180,3240,54.0,3420.0,2026-03,RESEARCH_DEVELOPMENT,LISTING_DAYS_15_30,REGULAR_WEEKEND,READY,,0
